Tweet;Classificação
#Bolsonaro tem um feito Unico: ficou mal com sua base ideológica e ficou mal na história por querer sabotar a reforma da #previdência nos minutos finais.;Neutro
CPP pede reprovação à reforma da Previdência ;Neutro
#NoAr - Entrevista Total - Almir Reis, advogado especialista em Direito Previdenciário, fala sobre as possíveis propostas de reforma da Previdência do governo Bolsonaro.;Neutro
Frei Anastácio diz que reforma da Previdência trará fome e miséria para o Brasil https://www.freianastacio.com.br/frei-anastacio-diz-que-reforma-da-previdencia-trara-fome-e-miseria-para-o-brasil/ via @Deputado Federal Frei Anastacio;Neutro
#governoBolsonaro🇧🇷 #reformadaprevidencia Uma #avaliação terrível pelo chefe da #Comissão na @camaradeputados;Neutro
E a reforma da previdência proposta? E o projeto de leis anti crimes proposto, e a reforma da previdência dos militares que será proposta amanhã? E a concessão dos aeroportos? E o decreto ante desarmamento?;Neutro
"CCJ Aprova Reforma da Previdência: Integrantes do &lt;i&gt;Muda Senado&lt;/i&gt; Votam Contra https://criticanews.com.br/2019/10/01/ccj-aprova-reforma-da-previdencia-integrantes-do-muda-senado-votam-contra/ via @CRÍTICA NEWS";Neutro
Entenda porque servidores podem ficar de fora da reforma da Previdência na coluna de Rômulo Saraiva desta quinta-feira https://bit.ly/2KarXUF;Neutro
Reforma da Previdência: Garoto-propaganda da reforma, Ratinho deve R$76 milhões à União https://gustavohorta.wordpress.com/2019/05/25/reforma-da-previdencia-garoto-propaganda-da-reforma-ratinho-deve-r-76-milhoes-a-uniao/ via @wordpressdotcom;Neutro
@jairbolsonaro já ofereceu a vaga no @STF_oficial para @SF_Moro e agora tenta barganhar com a bancada evangélica em troca de apoio na reforma da previdência. ;Neutro
Bolsonaro diz acreditar em aprovação da reforma da Previdência na Câmara e no Senado neste semestre https://falaguarulhos.com.br/portal/economia/bolsonaro-diz-acreditar-em-aprovacao-da-reforma-da-previdencia-na-camara-e-no-senado-neste-semestre/;Neutro
Hoje ocorreu o lançamento do @AcreditoMinas na cidade de Viçosa, com debate sobre a reforma da previdência. Contou com a presença do Prof. Fernando Laércio, do deputado @TiagoMitraud e do economista @_thalesnogueira. Evento encontra-se nos stories do Insta: @movimentoacreditomg;Neutro
FALA DA REFORMA DA PREVIDÊNCIA!!!!!!;Neutro
Bolsonaro defende aprovar reforma da Previdência com idade mínima https://aprizion.com/?p=102261 #RedeAprizion;Neutro
Senhor deputado como tá a articulação da reforma da previdência? Vai sair ou não?;Neutro
As bolsas europeias e os índices futuros em Nova York ampliaram as perdas nesta manhã reagindo ao impasse comercial sino-americano. Saiba mais: http://ow.ly/hMhe50wFB0V #usd #brl #eur #petroleo #oleoegas #reformadaprevidencia #china #eua #ANP;Neutro
Lendo a matéria sobre o possível impacto da Reforma da Previdência na Educação Física e me deparo com o posicionamento e visão do profissional Marco Aurélio Lopes a respeito da longevidade e mercado do envelhecimento. Parabéns pela excelente... https://www.facebook.com/100002662041424/posts/2063204293778285/;Neutro
Comissão especial da reforma da Previdência é criada por Maia ;Neutro
Reforma da previdência é o maior cavalo de Tróia que teremos de presente dos nossos políticos. https://www1.folha.uol.com.br/amp/mercado/2019/01/governo-estuda-excluir-afastamento-por-doenca-de-calculo-para-aposentadoria.shtml;Neutro
O pais sangrando e o nosso @SenadoFederal estagnado com a reforma da previdencia pq balcao de negocios ainda nao deram jeitinho. LAVATOGAJA;Neutro
Reforma da Previdência: Senado aprova texto-base, mas adia conclusão da votação para esta quarta https://www.politicaetc.com.br/2019/10/reforma-da-previdencia-senado-aprova-texto-base-mas-adia-conclusao-da-votacao-para-esta-quarta/;Neutro
O Centro de Estudos de Conjuntura e Política Econômica do Instituto de Economia da Unicamp produziu um estudo chamado: “A falsificação nas contas oficiais da Reforma da Previdência: o caso do Regime Geral de Previdência Social” ;Neutro
"Bolsonaro fala em ""jogar pesado"" na reforma da Previdência http://bit.ly/2HT0SVL";Neutro
"Marco Rocha ministra palestra sobre ""Reforma da Previdência"" na Semana Jurídica 2019 realizada pela UCDB http://oabms.org.br/marco-rocha-ministra-palestra-sobre-reforma-da-previdencia-na-semana-juridica-2019-realizada-pela-ucdb/";Neutro
"""Relator da reforma da Previdência acata emenda que beneficia servidores publicos federais, estaduais e municipais"" CORPORATIVISMO Eles legislando para e eles. V E R G O N H A https://economia.uol.com.br/noticias/redacao/2019/09/19/relator-da-reforma-da-previdencia-acata-emenda-que-beneficia-servidores.htm via @UOLEconomia @UOL";Neutro
Espero que não transformem as manifestações contra a reforma da previdência em ato pró Lula. Isso afasta muita gente, muitos são contra a reforma, porem não são Lula Livre;Neutro
Colunista convidado - Poliany França: Reforma da Previdência, necessária para quem? http://www.setedias.com.br/noticia/destaques/colunista-convidado---poliany-franca-reforma-da-previdencia,-necessaria-para-quem/53/20331;Neutro
Reforma da Previdência abre espaço para taxar até vale-refeição e férias ;Neutro
TJ-GO defende amplo estudo e discussão sobre Reforma da Previdência de Caiado - via @podergoias;Neutro
Não quer Lula livre e quer defender reforma da previdência era só ir na manifestação do dia 26 uai ;Neutro
O líder do PRB na Câmara, Jhonatan de Jesus, também negou que o Centrão esteja discutindo fazer uma reforma da Previdência “que não garanta a reeleição” de Jair Bolsonaro, como disse Paulinho da Força. Se estão desmentindo é porque é verdade. ;Neutro
Senadores retiram R$133,2 bilhões do impacto da reforma da Previdência no 1º turno ;Neutro
"José Cechin em nosso Webinar sobre Reforma da Previdência: ""Reforma é robusta e, se implementada, representará um fator de equilíbrio previdenciário nas próximas décadas Veja em https://www.youtube.com/watch?v=_gyQ1WOHXmc";Neutro
.O relatório da proposta de reforma da Previdência prevê aumento do tempo mínimo de contribuição para homens de 15 para 20 anos. A proposta é somente para trabalhador urbano. O tempo de contribuição para as mulheres permanece em 15 anos, no parecer do relator, deputado Samuel Mor ;Neutro
Tão de palhaçada Deputados!!! #OPovoVaiInvadirOCongresso Câmara considera votar um texto alternativo da reforma da Previdência - CBN ;Neutro
O dia de hoje será marcado pela revelação dos deputados na CCJ, que não estudaram a Reforma da Previdência! O ministro foi sabatinado por quem quer continuar político, sem estar comprometido, com os resultados para o povo!😡 #r #p #reformadaprevidência ;Neutro
Reforma da Previdência Reforma da Previdência Reforma da Previdência Reforma da Previdência Reforma da Previdência Reforma da Previdência Reforma da Previdência Reforma da Previdência Reforma da Previdência;Neutro
Até a Globo não, amigo. A Globo defende o Moro e a Reforma da previdência. Bolsonaro sempre esteve do lado do sistema;Neutro
"""Reforma da previdência vai resultar num genocídio das próximas gerações"" Pensa aí qm será a próxima geração...será q são os filhos do Bolso....pois é ,não né....";Negativo
Será que esta foi a barganha feita para a expressiva votação da reforma da previdência? Decepcionante se for isso. #VETABOLSONARO;Negativo
Reforma da Previdência só traz ônus ao trabalhador cobrar os grandes devedores ninguém fala! Eu trabalho desde 94 logo são 25 de contribuição pra regra nova tenho q contribuir mais 22 anos com sorte se tiver viva aposento no ano de 2041!;Negativo
Números da Reforma da Previdência segundo bolsominion evangélico.Segundo os economistas da página do FB “Bolsonaro Presidente “, a aposentadoria do pobre não vai mudar em nada. Outra idiotice foi dividir o Brasil entre 4 categorias. 🤦🏽‍♀️🤦🏽‍♀️🤦🏽‍♀️ ;Negativo
@Gabfmello @mtthewespinosz qnd a prof de geo diz que a reforma da previdência é necessário sendo q ela so apoiar pq é bolsominion;Negativo
Galera em pinheiral é tão retardada que vai fazer manifestação a favor da reforma da previdência e lava jato gado demais misericórdia;Negativo
"""Sua"" reforma da previdência tem o pior projeto de todos os tempos. Eu e milhões já lemos e sabemos q é injusta e não deve ser aprovada. Em tempo: pare de postar imbecilidades, o povo não aguenta mais.";Negativo
"A frase de Rodrigo Maia - ""Todo mundo consegue trabalhar até 80 anos"" - deixa bem claro que tipo de reforma da previdência essa gente do bolsonaro quer aprovar. Uma reforma em que ninguém aposente mais, que você tenha de trabalhar até morrer.";Negativo
O ministro da economia, por onde andas, não foi ao congresso defender o indefensável, a tal reforma da previdência. Medo ou não tem coragem de encarar os seus opositores. Aprendeu com o chefe a fugir dos debates.;Negativo
Sai mais barato armar a população do que investir em segurança pública, as fábricas de armas vão ter seu retorno financeiro, ou vc acha que a Taurus apoiou o Bolsonaro de graça. Redução de impostos que é bom nada, a reforma da previdência vai acabar de ferrar com o pobre.;Negativo
OAB se posiciona oficialmente contra a reforma da Previdência Finamente ela deu o ar da graça!;Negativo
NOVA POLÍTICA: tira da educação recursos e repassa para os deputados que votarem favorável à reforma da previdência! ;Negativo
A reforma da Previdência deveria se chamar Reforma da Morte. Com ela morrem a Constituição, o Código Civil, PNAS, a LOAS, o ECA, o Estatuto do Idoso e o SUAS. Morre também a nossa esperança. Assassinos de estes de homens no poder.;Negativo
OAB se posiciona oficialmente contra a reforma da Previdência ;Negativo
Destruindo a Amazônia não, o Brasil e depois a população nessa REFORMA DA PREVIDÊNCIA;Negativo
#sindicAtos contra a reforma da Previdência e cortes param trânsito e transportes pelo país ;Negativo
Veja como vc pode ajudar a mudar a votação da reforma da previdência. #ReformaInjusta #IMPEACHMENTDEBOLSONAROJA #ImpeachmentDeBolsonaro #impeachment Assista 👇🏼;Negativo
Foi aprovada a reforma da previdência(uma merda), mas, sejamos sinceros e sem desonestidade, o projeto de capitalização que o Guedes queria, aos moldes do Chile, foi derrotado lá na câmara ainda.;Negativo
Posta aí o texto da reforma da previdência dos militares, do judiciário e dos políticos do legislativo e executivo. Tem como postar não ne? Não existe... E um monte de inocente assalariado batendo palma pra esse vídeo falacioso e tendencioso! Só o pobre vai pagar a conta!;Negativo
Ao microfone, homem convoca operários para uma grande manifestação para parar a reforma da previdência;Negativo
Silvio Santos, o morto da TV recebendo o morto da Política, Bolsonaro, no morto SBT O despero e o chororô pra enfiar no rabo da gente uma Reforma Da Previdência é ridículo. Enquanto isso, o careca vivo da Havan segue devendo pro INSS. E os 2 mortos chorando pros jecas;Negativo
O trilhão que Bozonaro pretende economizar com a reforma da Previdência: • 352 bilhões virá dos que ganham até 2 mil. • 75 bilhões virá dos inválidos. • 50 bilhões virá dos trabalhadores rurais. • 26 bilhões virá dos servidores públicos. (Fonte: IFI - Senado Federal);Negativo
FORA BOLSONARO USURPADOR DOS DIREITOS DOS TRABALHADORES.. REFORMA DA PREVIDÊNCIA CRUEL, IMORAL E DESUMANA. #TchutchucaDosBanqueiros;Negativo
"A reforma da previdência não é ruim para o povo, é PÉSSIMA. Queria ver essa deputada e todos os que defendem tal reforma, trabalhar no campo, ou como motorista de ônibus, de caminhão, como pedreiro, pintor, etc; aí queria vê-los defendendo essa desgraça, desumana reforma.";Negativo
a pessoa que é/foi a favor da reforma da previdência não chamo nem de amigo;Negativo
GOVERNO HIPÓCRITA !! REFORMA DA PREVIDÊNCIA MALDITA, CRUEL, IMORAL E DESUMANA. A REFORMA DA PREVIDÊNCIA DOS MILITARES É UMA GRANDE FARSA, VAI CONTINUAR TUDO IGUAL. QUEM VAI PAGAR ESSA CONTA SOMOS NÓS TRABALHADORES MORTAIS QUE SÓ SE FERRAM. BOLSONARO ESTÁ NOS ENGANANDO !!!;Negativo
Fica fácil votar uma reforma da Previdência quando você não é atingido por ela' ;Negativo
eu fico imaginando a joice hasselmann como LÍDER DO GOVERNO negociando a reforma da previdência. imagina a HABILIDADE. esse governo não é só misógino, homofóbico, medieval, saudosista da ditadura. é INCAPAZ, DESPREPARADO, AMADOR;Negativo
aproveitando que a reforma da previdência ainda não foi aprovada pra envelhecer 40 anos e me aposentar o quanto antes ;Negativo
Cara, eu discordo um pouco. Eu já pesquisei mt sobre ela com varios vídeos e podcast. A reforma da previdência é necessário sim, mas não dessa forma. Acredito que ela foi hipocrita em fazer isso, não ser traidora;Negativo
essa reforma da previdência q o bolsonaro tá querendo podia ser só pra quem votou nele né? pensa q máximo;Negativo
Depois da reforma da previdência qual seria o próximo passo das destruições generalizadas?;Negativo
Uma previsão do ministério sobre a reforma da previdência. Vc lembra as previsões antes da reforma trabalhista?? Aconteceu?;Negativo
Hoje você não dá a mínima para a reforma da Previdência, só vai entender quando se aposentar, se não morrer até lá. editado.;Negativo
#GreveGeral14J contra essa reforma da previdência que só penaliza o povo! #MoroTraidorDaPatria;Negativo
Nenhum comentário sobre os aumentos no combustível, nenhum comentário sobre os cortes na educação e saúde, nenhum comentário sobre a crueldade da reforma da previdência. Poxa Anamaria, poxa Fausto Silva 😞;Negativo
@joaocamposdep Prezado Deputado, a PEC da reforma da previdência é danosa para quem se vê obrigado a se aposentar por doença, pois além de se afastar do mercado, ter rendimentos reduzidos para no máx 5.832,11, esse valor pode cair para 60%. Por favor não concorde com esse absurdo;Negativo
Verdade esses estão ganhando milhões em quanto os trabalhadores pagam a conta com a reforma da previdência, desemprego e a miséria que o governo nega existir.;Negativo
Brasileiros e Brasileiras! Todos contra a reforma da previdência. https://www.facebook.com/100000240287622/posts/3158883564129622/;Negativo
Reforma da Previdência é prato principal. Cadê a entrada, tira-gosto, petisco... Na economia? Colocar todas as fichas numa só aposta é desespero. O Brasil tá sangrando...;Negativo
Obrigado a trabalhar por 40 anos para se aposentar...aos trabalhadores basta saber disso para ser contra à Reforma da Previdência. Além do mais, os bancos são os maiores interessados em retirar seus direitos. Lute! ;Negativo
Você é a favor da reforma da previdencia? — não ;Negativo
PEC da reforma da Previdência de Bolsonaro é pior do que a de Michel Temer | SINPRO MG | Sindicato dos Professores do Estado de Minas Gerais representa os docentes do setor privado de ensino e conta hoje com uma base de cerca de 80 mil professores. http://sinprominas.org.br/noticias/pec-da-reforma-da-previdencia-de-bolsonaro-e-pior-do-que-a-de-michel-temer/;Negativo
Eu não vejo uma posição crítica do Novo em relação ao governo Bolsonaro, em que pese serem 100 dias tenebrosos de ideologia e incompetência. Ficar só nessa ladainha de reforma da previdência, economia e blá blá blá cansa. Seria bom sair dessa posição genuflexa diante do governo.;Negativo
"@jornaldamanha luizão: quanto, que a jovempan está recebndo do governo ""fede""ral e dos bancos, pra defender a reforma da previdencia?";Negativo
Brasil fecha 43 mil vagas formais em março. Ate quando alguns brasileiros vao continuar acreditando que tirar o PT da presidencia foi algo bom? Ate quando acreditarao na Reforma Trabalhista, PEC do Teto, Reforma da Previdencia, etc? O que falta? ;Negativo
@mariadorosario por favor acompanhe com lupa as regra de transição da mulher com deficiência leve, na reforma da previdência. Outras categorias tiveram abrandamento. 35 anos, absurdo!;Negativo
Desvinculação antes da Reforma da Previdência ? E depois da reforma da CLT ? Que resultados esse somatório apresenta?;Negativo
Eu não entendo porque aprovam a reforma da previdência, fazendo quem paga trabalhar mais tempo. E não cobram primeiro quem deve a previdência. E não criam depósitos obrigatório mensais, sem possibilidade parcelamento.;Negativo
Morro de rir dos analfabetos que acham que a reforma da previdência é algo bom..... vão nessa.....;Negativo
"""Reforma"" da Previdência: os velhos à beira do penhasco . Empresários ganham, aumenta o rombo da previdência e trabalhadoresm perdem. Velhice será jogada na pobreza, nossa velhice... ";Negativo
5 meias verdades ditas por Paulo Guedes ao explicar a reforma da Previdência https://crpsjuntasderecursos.wordpress.com/2019/04/03/5-meias-verdades-ditas-por-paulo-guedes-ao-explicar-a-reforma-da-previdencia/;Negativo
A Reforma da Previdência é um calote, diz Maria Lúcia Fatorelli https://youtu.be/JX3nLOaHXoE via @YouTube;Negativo
Reforma da previdência já penaliza quem esta desempregado e não consegue voltar ao mercado de trabalho, bem como quem está no mercado mas pode perder a QQ momento. Exigir da mulher 62 anos pra aposentar ignora a dupla ou tripla jornada que temos ao cuidar da casa e dos filhos.;Negativo
Boa tarde Quando vamos sair às ruas para lutar pela reforma da previdência? Será que não entendemos que já esta na hora de acabar com os privilégios de políticos e altos funcionários públicos?? Vamos assistir parados o país afundar?? #mbl #vemprarua…https://lnkd.in/daY_tYF;Negativo
O governo brinca com o povo, mais uma discussão polêmica em semana de votação da reforma que tira direitos da previdência, se liguem é guerra híbrida!!!;Negativo
Não a reforma da previdência....se concordar ..faça o mesmo em todas as postagens...precisa parar isso ;Negativo
Se não aprovarem a do Guedes, próximo presidente terá que fazer nova reforma da previdência, seja ele quem for... https://www.facebook.com/100000997287848/posts/2370198983023321/;Negativo
Reforma da Previdência atinge em cheio trabalhador da construção civil https://www.topbuzz.com/a/6654311914153181702;Negativo
A imprensa especializada em economia diz que o empresariado esperava a reforma da previdência para investir, óbvia mentira. Mas mesmo se fosse verdade, quem vai investir em um país com um presidente tão ridículo e desrespeitoso.;Negativo
Como será a reforma da previdência dos políticos? Vai ser aquele presentão igual a dos militares?;Negativo
Falei na #CCJ sobre o esforço que o Senado precisa fazer na discussão da Reforma da Previdência. Não podemos permitir que os mais pobres e a classe média paguem a conta mais uma vez. #reformadaprevidencia ;Negativo
Reforma da Previdência vem pra garantir privilégios aos militares, juízes e políticos! #ReformaDaPrevidenciaNao #reformanao;Negativo
Cláudia Collucci: Reforma da Previdência ignora descompasso entre vida longa e vida saudável ;Negativo
Via #RevistaAutismo: RT andreawerner_: NEM UM DIREITO A MENOS! O texto da reforma da previdência deixará pessoas autistas e/ou com deficiência mental leve e moderada FORA da pensão por morte dos pais! Isso é o que diz expressamente o artigo 28 § 3º (...) ;Negativo
O texto que destrói os 25 argumentos mais utilizados por quem é contra a reforma da Previdência https://www.infomoney.com.br/mercados/noticia/7128578/o-texto-que-destroi-os-25-argumentos-mais-utilizados-por-quem-e-contra-a-reforma-da-previdencia?fbclid=IwAR3oyDlfiF8lYIbTcBq0FzC-40jcLJMwoZzguhWIxkng4SZuEtHxIJAaHtQ;Negativo
O dono do supermercado também é entrevistado e reforça a afirmação. Nenhuma fonte contrária a Reforma da Previdência é ouvida. Na reportagem existe somente o discurso da patronal. Não há contraponto, não há questionamentos, não há debates de ideias.;Negativo
"A reforma da previdência, infelizmente, trás no seu bojo um ""jabuti"". Aposentados que continuam trabalhando e aqueles que se apresentem a partir da aprovação da reforma, poderão o direito a multa de 40% do FGTS. Isso é apenas para atender a empresários. Inaceitável!!!";Negativo
E o povo trabalhador que precisa sofrer com a reforma da previdência. Vai vendo isso. ;Negativo
@DepLuizCarlos Vi que o senhor é um indeciso em relação à Reforma da Previdência. Estou acompanhando e espero que o senhor decida a favor do povo e contra os banqueiros. O povo está de olho.;Negativo
Reforma da previdência, Pessoas sem emprego perdendo seus direitos... ;Negativo
Mais uma desculpa. Primeiro era o teto de gastos que ia salvar a economia. Depois a reforma trabalhista. Depois a reforma da previdência. Tudo isso foi feito e a economia não se recupera e o desemprego continua nas alturas. Quando vão perceber q esse liberalismo é uma farsa?;Negativo
Essa reforma da previdência é ridícula, da forma como apresentada vai macular apenas os mais pobres deste país.;Negativo
"Concordo! ""Temos que organizar o exército do povo nas ruas, uma verdadeira frente popular"". 🔴 FALTOU ENFRENTAMENTO E RUA CONTRA REFORMA DA PREVIDÊNCIA 🔴 ";Negativo
Sou contra reforma da previdência. Votei no Bolsonaro e sou contra aumento no tempo idade e contribuição para salário mínimo!;Negativo
A proposta de reforma da previdência é sentença de morte para trabalhadores e trabalhadoras. Fora Bolsonaro!;Negativo
RT fabiofelixdf O @psol50 sempre protagonizou a defesa dos direitos previdenciários. Nasceu do combate, quando em 2003 os deputados tiveram coragem de votar contra a proposta que retirava direitos dos servidores públicos. #reformadaprevidencia;Negativo
A Reforma da Previdência só é boa para as grandes empresas e os bancos. Colega, veja o que esta proposta afeta a nós, trabalhadores, neste vídeo curto do @sindppdrs: https://www.youtube.com/watch?v=iI4uP7Fao3Y 14 de Junho é GREVE GERAL pela Aposentadoria e em defesa dos nossos direitos!;Negativo
Eu estou puto com políticos desde a votação da reforma da previdência, no caso dos policiais e professores.;Negativo
"Pelo menos não vão ter a desculpa do ""Lula livre"" pra sobrepor outras pautas. Pena que nesse processo a reforma da previdência já passou.";Negativo
Um produtor me chamou pra um comercial. Cachê bacana, eu sem grana, match perfeito. Até descobrir que seria para o Governo Federal, um vídeo sobre a Reforma da Previdência. Cancelei. Neguei meu primeiro trabalho, por uma única questao: valores, e nada de cifra, morais.;Negativo
Presidente com todo respeito, conteúdo impróprio , pelo amor de Deus o Brasil precisa avançar melhorar, retire a reforma da previdência que vai prejudicar a população mais humilde , eu não concordo com esse tipo de coisa, Deus tenha piedade em nome do Senhor Jesus.;Negativo
No centro de São Paulo também estamos mobilizados contra a reforma da Previdência! ;Negativo
As passagens de Avião iam ficar baratas com a cobrança de bagagens, corte por 20 anos de investimentos ia gerar empregos, reforma trabalhista ia gerar empregos, reforma da previdência vai gerar empregos. Quando não acontece ninguém volta atras!;Negativo
Os que estão criticando o protesto são as mesmas bestas que apoiam a reforma da previdência? ;Negativo
Eu discordo de vc especialmente qdo à Reforma da Previdência, pq ela é super necessária sim, mas do jeito q foi proposta, só vai cair nas costas da população mais pobre (e classe média), ao invés de haver algo efetivo no q realmente causa o rombo.;Negativo
Metade do país avisando que a reforma da previdência iria fuder com o pobre e o trabalhador comum e só agora que vcs perceberam isso??? Aaaah vai se fuder bando de idiotas uteis gado do crl ;Negativo
Não se fala mais e não se retira todos os privilégios porque o grande objetivo dessa reforma é a privatização da previdência, a capitalização da previdência que extermina a seguridade social e só favorece os bancos. E que levou os velhinhos chilenos ao suicídio.;Negativo
Tô ouvindo o Me Poupe na 89 com uma especialista em Previdência. Várias perguntas sobre a reforma e a resposta é desesperadora: Ih, não dá mais! ih, perdeu! Ixi, mudou! Não existe mais isso. Ou seja: Fudeu!!!;Negativo
Essa reforma da previdencia ai, com eles querendo aprovar a força mano... Boa coisa não deve ser.. hahahaha;Negativo
A dignidade na velhice será uma exceção. O Brasil no futuro terá poucos aposentados, se essa #ReformaDaPrevidência for aprovada, diz Roni Barbosa, secretário nacional de Comunicação da @CUT_Brasil #LutePelaSuaAposentadoria #ReajaOuSuaPrevidênciaAcaba;Negativo
Quando uma mulher c formação superior c + 60 votou no Bolsonaro e ainda defende essa reforma da previdência (ficando p ela ruim a aposentadoria) é pq tá faltando muita educação e protagonismo político.;Negativo
A reforma da previdência é o único instrumento para alavancar a economia? Do mesmo jeito que tem imprensa cega contra o governo, também tem jornalismo cego a favor!;Negativo
RT @onyxlorenzoni vamos copiar a reforma da previdência do chile pois aposentado bom é aposentado morto;Negativo
Preciso fazer uma redação sobre a reforma da previdência, foca na merda;Negativo
"Vc critica a reforma da previdência e chega um cara mandando vc calar a boca pq vc é uma ""professora cheia de privilégios"". Mais privilégios q o presidente em q o cara votou q se aposentou aos 33 anos?";Negativo
Reforma da previdência de Bolsonaro é pior que a de Temer https://www.brasil247.com/pt/247/brasil/379887/Reforma-da-previd%C3%AAncia-de-Bolsonaro-%C3%A9-pior-que-a-de-Temer.htm via @brasil247;Negativo
"VOCÊ SABE QUAIS SÃO? #previdenciasocial #reformadaprevidencia #lutas #resistência #naoareformadaprevidencia em Osasco, Sao Paulo https://www.instagram.com/p/Bu4xJZBhoNV/?utm_source=ig_twitter_share&amp;igshid=g9t2jhipso7t";Negativo
